               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.046159,            0.026464,                   0,             0.57166,             0.47059,             0.64199,             0.27025,            0.035158,            0.011811,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,             0.04772,             0.02734,                   0,             0.65213,             0.64706,             0.76672,             0.37253,            0.031831,            0.012223,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.043861,             0.02598,                   0,             0.65213,             0.64706,             0.76672,             0.37253,            0.031831,            0.012223,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,             0.04347,            0.029038,                   0,             0.65213,             0.64706,             0.76672,             0.37253,            0.031831,            0.012223,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.049237,            0.026456,                   0,             0.59364,             0.82353,             0.77718,             0.38431,            0.031613,            0.012285,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.049924,            0.026374,                   0,             0.59364,             0.82353,             0.77718,             0.38431,            0.031613,            0.012285,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.044414,            0.024682,                   0,             0.56176,             0.64706,             0.69427,             0.33253,            0.033725,            0.012225,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.043071,            0.025433,                   0,             0.56176,             0.64706,             0.69427,             0.33253,            0.033725,            0.012225,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.047146,            0.026079,                   0,             0.56176,             0.64706,             0.69427,             0.33253,            0.033725,            0.012225,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.049314,            0.025203,                   0,             0.65717,             0.70588,             0.72441,             0.31235,            0.034469,            0.012301,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.044716,            0.028303,                   0,             0.65717,             0.70588,             0.72441,             0.31235,            0.034469,            0.012301,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.049653,            0.029466,                   0,             0.62153,             0.70588,             0.75495,              0.3706,            0.032755,             0.01253,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.043371,            0.029682,                   0,             0.62153,             0.70588,             0.75495,              0.3706,            0.032755,             0.01253,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.048412,            0.026865,                   0,             0.62153,             0.70588,             0.75495,              0.3706,            0.032755,             0.01253,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.046577,            0.024873,                   0,             0.59625,             0.70588,             0.73191,             0.36857,            0.035444,            0.012696,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.047008,            0.027987,                   0,             0.59625,             0.70588,             0.73191,             0.36857,            0.035444,            0.012696,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.049741,            0.026451,                   0,             0.65143,             0.70588,             0.76098,             0.35704,            0.030582,            0.012561,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,             0.04502,             0.02625,                   0,             0.65143,             0.70588,             0.76098,             0.35704,            0.030582,            0.012561,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.047777,            0.027313,                   0,             0.62624,             0.82353,             0.79506,             0.41723,            0.029497,            0.012365,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.046415,            0.027039,                   0,             0.62624,             0.82353,             0.79506,             0.41723,            0.029497,            0.012365,                   0,            0.003169,            0.003169,            0.003169
                 140,             0.04948,            0.027542,                   0,             0.62624,             0.82353,             0.79506,             0.41723,            0.029497,            0.012365,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.045503,            0.029228,                   0,             0.64885,             0.82353,             0.81343,             0.40961,            0.029741,            0.012251,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.047563,            0.023173,                   0,             0.64885,             0.82353,             0.81343,             0.40961,            0.029741,            0.012251,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.039424,            0.023205,                   0,             0.57128,             0.78439,             0.73009,             0.37901,            0.029997,            0.012054,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.044787,            0.026486,                   0,             0.57128,             0.78439,             0.73009,             0.37901,            0.029997,            0.012054,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.049484,            0.022971,                   0,             0.57128,             0.78439,             0.73009,             0.37901,            0.029997,            0.012054,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.046171,            0.024916,                   0,             0.58582,             0.76471,             0.71125,             0.36349,            0.029234,            0.012093,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,             0.04892,            0.022547,                   0,             0.58582,             0.76471,             0.71125,             0.36349,            0.029234,            0.012093,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.046269,            0.022403,                   0,              0.7194,             0.75454,             0.79395,             0.37729,            0.029439,            0.012084,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.043975,            0.028431,                   0,              0.7194,             0.75454,             0.79395,             0.37729,            0.029439,            0.012084,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.046467,             0.02762,                   0,              0.7194,             0.75454,             0.79395,             0.37729,            0.029439,            0.012084,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.042972,            0.024067,                   0,             0.71566,              0.7411,              0.7989,             0.40548,            0.031069,            0.011951,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.044948,            0.026547,                   0,             0.71566,              0.7411,              0.7989,             0.40548,            0.031069,            0.011951,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.042422,            0.024678,                   0,             0.66031,             0.80109,             0.72515,             0.35702,             0.02974,            0.011677,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.042685,            0.028961,                   0,             0.66031,             0.80109,             0.72515,             0.35702,             0.02974,            0.011677,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.041175,            0.024339,                   0,             0.66031,             0.80109,             0.72515,             0.35702,             0.02974,            0.011677,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.047232,            0.029591,                   0,             0.54167,             0.76471,             0.63832,             0.32843,            0.030081,            0.011551,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.039033,            0.024877,                   0,             0.54167,             0.76471,             0.63832,             0.32843,            0.030081,            0.011551,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.048623,            0.023965,                   0,             0.63348,             0.81372,             0.75332,             0.39493,            0.031397,            0.011632,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.043987,             0.02776,                   0,             0.63348,             0.81372,             0.75332,             0.39493,            0.031397,            0.011632,                   0,            0.002179,            0.002179,            0.002179
                 160,              0.0423,            0.024487,                   0,             0.63348,             0.81372,             0.75332,             0.39493,            0.031397,            0.011632,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.048865,            0.026514,                   0,             0.59469,             0.77721,             0.78344,             0.39761,            0.034495,            0.011482,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.044416,            0.022301,                   0,             0.59469,             0.77721,             0.78344,             0.39761,            0.034495,            0.011482,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.045547,            0.026901,                   0,             0.60739,             0.76471,             0.69914,             0.34002,            0.030095,            0.011549,                   0,            0.001981,            0.001981,            0.001981
                 164,             0.03861,            0.025311,                   0,             0.60739,             0.76471,             0.69914,             0.34002,            0.030095,            0.011549,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.042118,            0.026672,                   0,             0.60739,             0.76471,             0.69914,             0.34002,            0.030095,            0.011549,                   0,            0.001882,            0.001882,            0.001882
                 166,            0.046876,            0.023528,                   0,             0.61121,             0.76471,             0.65908,             0.33812,            0.030504,            0.011509,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,            0.044687,            0.027095,                   0,             0.61121,             0.76471,             0.65908,             0.33812,            0.030504,            0.011509,                   0,            0.001783,            0.001783,            0.001783
